                                         s                                         | ind 
-----------------------------------------------------------------------------------+-----
 53  7    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   3
 531 7    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   4
 532 7    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   4
 534 7    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   4
 53127    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   6
 53167    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   6
 53267    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   6
 53427    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   6
 53467    6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   6
 531274   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 531276   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 531278   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 531672   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 531674   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 531678   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 532674   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 532678   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 534276   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 534278   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 534672   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 534678   6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   7
 5312748  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5312749  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5312764  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5312768  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5312769  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5312784  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5312789  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316724  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316728  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316729  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316748  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316749  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316784  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5316789  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5326741  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5326748  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5326749  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5326781  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5326784  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5326789  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5342761  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5342768  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5342769  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5342781  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5342789  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5346721  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5346728  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5346729  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5346781  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 5346789  6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   8
 53127489 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53127649 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53127684 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53127689 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53127694 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53127849 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53127894 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167249 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167284 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167289 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167294 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167482 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167489 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167492 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167842 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167849 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167892 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53167894 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267419 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267481 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267489 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267491 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267814 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267819 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267841 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267849 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267891 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53267894 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427619 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427681 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427689 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427691 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427819 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53427891 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467219 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467281 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467289 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467291 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467812 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467819 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467891 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 53467892 6  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |   9
 5312764986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5312768946  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5312769486  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316724986  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316728946  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316729486  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316748926  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
 5316749286  195    98    6 8   6   34  8 3  17   2   6 6    28    419  5    8  79 |  11
